abbrev,year,totalpop,under18pop,area,density,log_density,gte18pop,avgstatepopbyyear,under18pct,gte18pct,gte18_pctgr,q_gte18pct,G_0,G_1,G_2,G_3,G_4
PR,2005,3821362.0,1019447.0,3515.0,1087.1584637268847,6.991322657293724,2801915.0,5756499.25,0.2667758249545581,0.7332241750454419,0.003925532406602983,0,True,False,False,False,False
PR,2006,3805214.0,998543.0,3515.0,1082.5644381223328,6.98708798523877,2806671.0,5811252.423076923,0.26241441348633743,0.7375855865136626,0.001697410521018572,1,False,True,False,False,False
PR,2007,3782995.0,973613.0,3515.0,1076.2432432432433,6.981231777667175,2809382.0,5865657.730769231,0.25736565869106354,0.7426343413089365,0.000965912997996643,1,False,True,False,False,False
PR,2008,3760866.0,945705.0,3515.0,1069.947652916074,6.9753650037508645,2815161.0,5920285.230769231,0.25145937132564683,0.7485406286743532,0.0020570360314118297,2,False,False,True,False,False
PR,2009,3740410.0,920794.0,3515.0,1064.1280227596017,6.969910984805944,2819616.0,5971383.442307692,0.24617461722110678,0.7538253827788932,0.0015825027414062554,2,False,False,True,False,False
PR,2010,3721208.0,896945.0,3515.0,1058.6651493598863,6.964764100473601,2824263.0,6020144.288461538,0.2410359754144353,0.7589640245855647,0.0016480967621121945,3,False,False,False,True,False
PR,2011,3686580.0,869327.0,3515.0,1048.8136557610242,6.955414952731835,2817253.0,6062868.153846154,0.23580852714439943,0.7641914728556006,-0.002482063462220019,3,False,False,False,True,False
PR,2012,3651545.0,841740.0,3515.0,1038.846372688478,6.9458661194241875,2809805.0,6106254.423076923,0.23051612399682875,0.7694838760031713,-0.002643710025333146,4,False,False,False,False,True
PR,2013,3615086.0,814068.0,3515.0,1028.4739687055476,6.935831398812133,2801018.0,6148921.634615385,0.22518634411463517,0.7748136558853649,-0.0031272632798361455,4,False,False,False,False,True
RI,1990,1005995.0,225923.0,1545.0,651.1294498381877,6.478708470118698,780072.0,4894564.980392157,0.22457666290587924,0.7754233370941207,,4,False,False,False,False,True
RI,1991,1010649.0,229448.0,1545.0,654.1417475728156,6.483324067380582,781201.0,4960410.62745098,0.22703035376278016,0.7729696462372199,0.0014473023003005459,4,False,False,False,False,True
RI,1992,1012581.0,232630.0,1545.0,655.3922330097088,6.485233885431156,779951.0,5029690.803921568,0.22973964551971646,0.7702603544802835,-0.0016001003582944984,4,False,False,False,False,True
RI,1993,1015113.0,237218.0,1545.0,657.031067961165,6.48773130497871,777895.0,5096443.039215687,0.2336862989637607,0.7663137010362393,-0.0026360630347290748,4,False,False,False,False,True
RI,1994,1015960.0,239100.0,1545.0,657.5792880258899,6.488565346934957,776860.0,5159329.9215686275,0.23534391117760542,0.7646560888223946,-0.0013305137582835247,3,False,False,False,True,False
RI,1995,1017002.0,240553.0,1545.0,658.2537216828479,6.489590452265256,776449.0,5221145.156862745,0.2365314915801542,0.7634685084198458,-0.0005290528537960082,3,False,False,False,True,False
RI,1996,1020893.0,240569.0,1545.0,660.7721682847897,6.493409103106681,780324.0,5282241.0,0.23564565532332968,0.7643543446766703,0.004990669058753339,3,False,False,False,True,False
RI,1997,1025353.0,242079.0,1545.0,663.6588996763754,6.497768312177994,783274.0,5346018.274509804,0.2360933259082482,0.7639066740917518,0.0037804809284347485,3,False,False,False,True,False
RI,1998,1031155.0,241760.0,1545.0,667.4142394822006,6.503410901843641,789395.0,5408904.235294118,0.2344555377222629,0.7655444622777371,0.007814634470185489,4,False,False,False,False,True
RI,1999,1040402.0,247014.0,1545.0,673.399352750809,6.512338545560502,793388.0,5471376.098039215,0.23742168892408896,0.762578311075911,0.005058304144313075,3,False,False,False,True,False
RI,2000,1050268.0,248065.0,1545.0,679.7851132686084,6.521776738329398,802203.0,5499481.076923077,0.2361920957317561,0.763807904268244,0.011110578934896864,3,False,False,False,True,False
RI,2001,1057142.0,248296.0,1545.0,684.2343042071197,6.5283004089761,808846.0,5553610.173076923,0.23487478503360948,0.7651252149663905,0.008280946344005224,3,False,False,False,True,False
RI,2002,1065995.0,248690.0,1545.0,689.9644012944984,6.536640003933561,817305.0,5604786.423076923,0.23329377717531508,0.7667062228246849,0.010458109454704712,4,False,False,False,False,True
RI,2003,1071342.0,248075.0,1545.0,693.4252427184466,6.5416434368548835,823267.0,5652577.461538462,0.23155537634107504,0.768444623658925,0.007294706382562133,4,False,False,False,False,True
RI,2004,1074579.0,246228.0,1545.0,695.5203883495145,6.544660325598842,828351.0,5704464.923076923,0.2291390395680541,0.7708609604319459,0.006175396317355197,4,False,False,False,False,True
RI,2005,1067916.0,241932.0,1545.0,691.2077669902912,6.538440454391832,825984.0,5756499.25,0.22654590810513187,0.7734540918948681,-0.002857484327296045,4,False,False,False,False,True
RI,2006,1063096.0,237348.0,1545.0,688.0880258899676,6.5339167743566415,825748.0,5811252.423076923,0.22326111658777759,0.7767388834122224,-0.00028571982023861686,4,False,False,False,False,True
RI,2007,1057315.0,233655.0,1545.0,684.3462783171522,6.528464044368436,823660.0,5865657.730769231,0.22098901462667228,0.7790109853733277,-0.002528616478635115,4,False,False,False,False,True
RI,2008,1055003.0,229798.0,1545.0,682.8498381877023,6.526274979158311,825205.0,5920285.230769231,0.2178173900927296,0.7821826099072704,0.0018757739844110777,4,False,False,False,False,True
RI,2009,1053646.0,225902.0,1545.0,681.9715210355987,6.524987898959253,827744.0,5971383.442307692,0.21440028244780504,0.7855997175521949,0.003076811216606856,4,False,False,False,False,True
RI,2010,1052669.0,223088.0,1545.0,681.3391585760518,6.524060212388092,829581.0,6020144.288461538,0.2119260660283527,0.7880739339716473,0.0022192851896238874,4,False,False,False,False,True
RI,2011,1050350.0,219783.0,1545.0,679.8381877022654,6.5218548105919805,830567.0,6062868.153846154,0.2092473937259009,0.7907526062740992,0.0011885518110950066,4,False,False,False,False,True
RI,2012,1050304.0,216591.0,1545.0,679.8084142394822,6.5218110147074535,833713.0,6106254.423076923,0.20621743799890319,0.7937825620010969,0.0037877738942193595,4,False,False,False,False,True
RI,2013,1051511.0,213987.0,1545.0,680.589644012945,6.5229595459841665,837524.0,6148921.634615385,0.20350429049244373,0.7964957095075562,0.004571117398913138,4,False,False,False,False,True
SC,1990,3501155.0,921041.0,32007.0,109.38716530758896,4.694893564162047,2580114.0,4894564.980392157,0.26306775906807894,0.736932240931921,,1,False,True,False,False,False
SC,1991,3570404.0,936122.0,32007.0,111.55072327928265,4.714479404759651,2634282.0,4960410.62745098,0.26218937688844174,0.7378106231115582,0.020994421176738776,1,False,True,False,False,False
SC,1992,3620464.0,947868.0,32007.0,113.11475614709282,4.72840284452402,2672596.0,5029690.803921568,0.26180843118451114,0.7381915688154889,0.014544380594029072,1,False,True,False,False,False
SC,1993,3663314.0,956951.0,32007.0,114.45352579123316,4.740168852313174,2706363.0,5096443.039215687,0.26122549145391305,0.738774508546087,0.01263453211783605,1,False,True,False,False,False
SC,1994,3705397.0,969766.0,32007.0,115.76833192739089,4.751591055608961,2735631.0,5159329.9215686275,0.26171716552909174,0.7382828344709083,0.010814513795821101,1,False,True,False,False,False
SC,1995,3748582.0,975884.0,32007.0,117.117568031993,4.763178285243253,2772698.0,5221145.156862745,0.2603341743624656,0.7396658256375344,0.01354970754462137,1,False,True,False,False,False
SC,1996,3796200.0,987576.0,32007.0,118.60530508951167,4.77580121650346,2808624.0,5282241.0,0.26014856962225386,0.7398514303777461,0.012957054825300185,1,False,True,False,False,False
SC,1997,3859696.0,1001681.0,32007.0,120.58912112975287,4.792389074003305,2858015.0,5346018.274509804,0.2595232888807823,0.7404767111192176,0.01758547958003631,1,False,True,False,False,False
SC,1998,3919235.0,1006371.0,32007.0,122.4493079638829,4.807697131801014,2912864.0,5408904.235294118,0.25677740681536065,0.7432225931846393,0.019191291858160264,1,False,True,False,False,False
SC,1999,3974682.0,1007050.0,32007.0,124.1816477645515,4.8217453950108276,2967632.0,5471376.098039215,0.2533661812441851,0.7466338187558149,0.01880211365858475,2,False,False,True,False,False
SC,2000,4024223.0,1010641.0,32007.0,125.72946542943731,4.8341324988616785,3013582.0,5499481.076923077,0.2511394125027365,0.7488605874972635,0.015483725744971144,2,False,False,True,False,False
SC,2001,4064995.0,1016134.0,32007.0,127.0033117755491,4.84421316309142,3048861.0,5553610.173076923,0.24997177118299038,0.7500282288170096,0.011706666684364375,2,False,False,True,False,False
SC,2002,4107795.0,1020531.0,32007.0,128.34051926141157,4.854687038296821,3087264.0,5604786.423076923,0.2484376654628578,0.7515623345371422,0.01259585136875696,2,False,False,True,False,False
SC,2003,4150297.0,1023785.0,32007.0,129.6684162839379,4.864980548051627,3126512.0,5652577.461538462,0.24667752693361464,0.7533224730663853,0.012712874571141342,2,False,False,True,False,False
SC,2004,4210921.0,1029111.0,32007.0,131.56250195269786,4.879482038719059,3181810.0,5704464.923076923,0.2443909539029585,0.7556090460970415,0.0176868024175183,3,False,False,False,True,False
SC,2005,4270150.0,1036941.0,32007.0,133.41300340550504,4.8934496055338546,3233209.0,5756499.25,0.24283479503061953,0.7571652049693804,0.016154012967461995,3,False,False,False,True,False
SC,2006,4357847.0,1050042.0,32007.0,136.15293529540412,4.913778778163199,3307805.0,5811252.423076923,0.24095430610574442,0.7590456938942556,0.023071815029588327,3,False,False,False,True,False
SC,2007,4444110.0,1064190.0,32007.0,138.8480644858937,4.933380274050997,3379920.0,5865657.730769231,0.23946076942289907,0.7605392305771009,0.021801466531431002,3,False,False,False,True,False
SC,2008,4528996.0,1074116.0,32007.0,141.50017183741056,4.952300931481216,3454880.0,5920285.230769231,0.2371642633378347,0.7628357366621653,0.022178039716916453,3,False,False,False,True,False
SC,2009,4589872.0,1079729.0,32007.0,143.402130783891,4.965652787078076,3510143.0,5971383.442307692,0.23524163636807302,0.764758363631927,0.0159956351595425,3,False,False,False,True,False
SC,2010,4636361.0,1079978.0,32007.0,144.85459430749523,4.975730441403046,3556383.0,6020144.288461538,0.23293656382667355,0.7670634361733264,0.013173252485724873,4,False,False,False,False,True
SC,2011,4673509.0,1076524.0,32007.0,146.01521542162652,4.983710831494928,3596985.0,6062868.153846154,0.2303459777225207,0.7696540222774793,0.011416655630172468,4,False,False,False,False,True
SC,2012,4723417.0,1077455.0,32007.0,147.57449932827194,4.9943331284614825,3645962.0,6106254.423076923,0.22810922685843743,0.7718907731415625,0.013616125727518913,4,False,False,False,False,True
SC,2013,4774839.0,1079798.0,32007.0,149.18108538757147,5.0051609061914695,3695041.0,6148921.634615385,0.22614333174375095,0.7738566682562491,0.013461193506679514,4,False,False,False,False,True
SD,1990,697101.0,199453.0,77121.0,9.039055510172327,2.20155468998254,497648.0,4894564.980392157,0.28611779354785033,0.7138822064521497,,0,True,False,False,False,False
SD,1991,703669.0,201749.0,77121.0,9.124220380959791,2.21093245811551,501920.0,4960410.62745098,0.2867100867026969,0.7132899132973032,0.008584380927884716,0,True,False,False,False,False
SD,1992,712801.0,206632.0,77121.0,9.242631708613738,2.223826662050484,506169.0,5029690.803921568,0.28988735986621794,0.7101126401337821,0.008465492508766381,0,True,False,False,False,False
SD,1993,722160.0,207975.0,77121.0,9.363986462831136,2.236871103966698,514185.0,5096443.039215687,0.28799019607843135,0.7120098039215687,0.015836607931343005,0,True,False,False,False,False
